id,active,resourcetype,coding_code,coding_display,organization_id,practitioner_id,meta_lastupdated,_airbyte_emitted_at,rn
094e90cf-84e3-4556-ae2e-7bb81bcda8ad,true,PractitionerRole,,,,89057319-91f6-4f70-9647-b12ba25f4138,2025-08-15T12:12:38.235+00:00,2025-08-28 07:25:56.172+00,1
125ba6fe-5d7a-4714-b87f-8e95d34eaa0e,true,PractitionerRole,,,,8dd7fb08-d5f7-4643-aa4f-dac2aff934d0,2025-08-15T12:07:10.178+00:00,2025-08-28 07:25:56.168+00,1
bd0e2a21-cdfe-49dd-a859-08ab003b60e2,true,PractitionerRole,,,,8ecda3b5-f741-4752-ba5e-0f93006aa100,2025-07-30T11:18:22.259+00:00,2025-08-28 07:25:56.154+00,1
21ad5fe9-af6a-4086-8d0c-1e0102e59d85,true,PractitionerRole,,,,9148e9de-b1ab-4240-a93f-358a14c36dc2,2025-08-15T11:57:15.860+00:00,2025-08-28 07:25:56.163+00,1
40912340-b181-4fe3-951b-50982659e101,true,PractitionerRole,,,,9294ccee-602e-4edc-971d-cc968c201921,2024-10-29T07:47:57.222+00:00,2025-08-28 07:25:56.151+00,1
00659664-5b47-4914-b318-013d40c3b629,true,PractitionerRole,,,,9c38f170-0e63-4e52-9fac-790c1af43cec,2025-09-05T12:07:37.721+00:00,2025-09-05 16:22:48.957+00,1
e3db2512-cab2-4df9-a504-3699a93c7526,true,PractitionerRole,,,,9d39ad50-d599-44cd-9e38-2fc9aec5abe6,2025-08-15T12:13:17.983+00:00,2025-08-28 07:25:56.173+00,1
8bcaf4ec-f2bb-4683-9021-6af3ae90bcb7,true,PractitionerRole,,,,a8591086-7e90-4ea4-b8d6-f25f1cb65551,2025-08-15T12:08:47.369+00:00,2025-08-28 07:25:56.169+00,1
fefc611c-78f3-4707-a37f-9d488414b6b2,true,PractitionerRole,,,,a8879006-cdde-437f-b746-7d6d9c7c3df6,2025-08-15T12:09:33.534+00:00,2025-08-28 07:25:56.17+00,1
fe87cce3-ccc7-48d2-a8e8-f3ac1621cb46,true,PractitionerRole,,,,ac2be0d3-3bf0-4172-a022-4e76d116eadf,2025-08-15T11:49:17.921+00:00,2025-08-28 07:25:56.158+00,1
c8f81e20-ab1b-477e-a9ad-0f0de27c7ffa,true,PractitionerRole,,,,ad5d559b-cdd0-48f5-a6fe-1f6af5ffd453,2025-08-15T11:13:06.683+00:00,2025-08-28 07:25:56.157+00,1
02598304-6ff0-4e3a-93de-4e5cfa5270ab,true,PractitionerRole,,,,ad77853d-ac6a-42cd-bc9c-c47cc4659360,2025-08-15T11:47:24.519+00:00,2025-08-28 07:25:56.157+00,1
